id;question;option_one;option_two;option_three;option_four;active;option_five
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;true;Electronics
2;Soap methodology Albania;Home Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;true;Refined Rubber Chicken Table
3;Automotive;Planner cross-platform access;Public-key;infomediaries;Investment Account;true;Salad
4;Digitized invoice;convergence;Mayotte;Industrial;connect Markets Chief;true;National Awesome sky blue
5;Tactics;scale interactive generating;Specialist Home Loan Account;Plastic;Car Industrial deliverables;false;24 hour
6;overriding;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;true;withdrawal COM
7;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;true;Concrete Investment Account Saint Lucia
8;User-centric;Money Market Account;Salad Web virtual;Refined Squares;maroon;true;Ghana back-end National
9;Direct;Profit-focused;Jewelery cutting-edge;Games;Iraq Bedfordshire;true;encompassing
10;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;true;Berkshire Small Plastic Pants Investor
